Site,Number,MAP,ID,percPurchase,percNotPurchase,propDeadCollect,propLiveCut
Fiela,1,1000,1,0,100,60,40
Fiela,1,1000,2,,,,
Fiela,2,1000,1,0,100,60,40
Fiela,2,1000,2,,,,
Fiela,3,1000,1,0,100,70,30
Fiela,3,1000,2,,,,
Fiela,4,1000,1,0,100,60,40
Fiela,4,1000,2,,,,
Fiela,5,1000,1,0,100,40,60
Fiela,5,1000,2,,,,
Fiela,5,1000,3,,,,
Fiela,6,1000,1,0,100,30,70
Fiela,6,1000,2,,,,
Fiela,7,1000,1,0,100,40,60
Fiela,8,1000,1,0,100,60,40
Fiela,8,1000,2,,,,
Fiela,9,1000,1,0,100,30,70
Fiela,9,1000,2,,,,
Fiela,10,1000,1,0,100,40,60
Fiela,10,1000,2,,,,
Korkodio,1,350,,0,100,100,0
Korkodio,2,350,,0,100,100,0
Korkodio,3,350,,0,100,95,5
Korkodio,4,350,,0,100,100,0
Korkodio,5,350,,0,100,100,0
Korkodio,6,350,,0,100,100,0
Korkodio,7,350,,0,100,100,0
Korkodio,8,350,,0,100,100,0
Korkodio,9,350,,0,100,100,0
Korkodio,10,350,,0,100,100,0
Korkodio,11,350,,0,100,100,0
Korkodio,12,350,,0,100,100,0
Korkodio,13,350,,0,100,100,0
Korkodio,14,350,,0,100,100,0
Korkodio,15,350,,0,100,100,0
Korkodio,16,350,,0,100,100,0
Korkodio,17,350,,0,100,100,0
Korkodio,18,350,,0,100,100,0
Korkodio,19,350,,0,100,100,0
Korkodio,20,350,,0,100,100,0
Lakamane,1,570,1,0,100,90,10
Lakamane,1,570,2,,,,
Lakamane,2,570,1,0,100,100,0
Lakamane,2,570,2,,,,
Lakamane,3,570,1,0,100,100,0
Lakamane,3,570,2,,,,
Lakamane,4,570,1,0,100,100,0
Lakamane,5,570,1,0,100,100,0
Lakamane,6,570,1,0,100,80,21
Lakamane,7,570,1,0,100,100,0
Lakamane,8,570,1,0,100,85,15
Lakamane,8,570,2,,,,
Lakamane,9,570,1,100,0,,
Lakamane,10,570,1,0,100,90,10
Lakamane,11,570,1,60,40,100,0
Lakamane,12,570,1,0,100,100,0
Lakamane,13,570,1,0,100,100,0
Lakamane,14,570,1,0,100,100,0
Lakamane,15,570,1,80,20,100,0
Lakamane,15,570,2,,,,
Lakamane,16,570,1,0,100,100,0
Lakamane,17,570,1,0,100,100,0
Lakamane,18,570,1,0,100,100,0
Lakamane,19,570,1,0,100,100,0
Lakamane,20,570,1,0,100,90,10
Negela,1,800,1,100,0,,
Negela,2,800,1,40,60,100,0
Negela,2,800,2,,,,
Negela,2,800,3,,,,
Negela,3,800,1,100,0,,
Negela,4,800,1,90,10,100,0
Negela,4,800,2,,,,
Negela,5,800,1,20,80,100,0
Negela,6,800,1,30,70,100,0
Negela,7,800,1,0,100,100,0
Negela,8,800,1,60,40,100,0
Negela,9,800,1,100,0,,
Negela,10,800,1,100,0,,
Negela,11,800,1,0,100,70,30
Negela,12,800,1,0,100,100,0
Negela,12,800,2,,,,
Negela,13,800,1,70,30,100,0
Negela,13,800,2,,,,
Negela,14,800,1,50,50,100,0
Negela,14,800,2,,,,
Negela,15,800,1,0,100,100,0
Negela,15,800,2,,,,
Negela,16,800,1,50,50,100,0
Negela,17,800,1,20,80,100,0
Negela,17,800,2,,,,
Negela,17,800,3,,,,
Negela,18,800,1,40,60,100,0
Negela,18,800,2,,,,
Negela,19,800,1,0,100,100,0
Negela,19,800,2,,,,
Negela,20,800,1,30,70,100,0
Negela,20,800,2,,,,
Tiendega,1,1200,1,0,100,60,40
Tiendega,1,1200,2,,,,
Tiendega,2,1200,1,0,100,50,50
Tiendega,2,1200,2,,,,
Tiendega,3,1200,1,0,100,40,60
Tiendega,4,1200,1,0,100,40,60
Tiendega,4,1200,2,,,,
Tiendega,4,1200,3,,,,
Tiendega,5,1200,1,0,100,30,70
Tiendega,6,1200,1,0,100,40,60
Tiendega,7,1200,1,0,100,35,65
Tiendega,7,1200,2,,,,
Tiendega,8,1200,1,0,100,60,40
Tiendega,9,1200,1,0,100,20,80
Tiendega,10,1200,1,0,100,20,80
Tiendega,11,1200,1,0,100,80,20
